rank,peak,direction,gradient,drop,horizontal_dist,start_offset_m,end_offset_m,summit_elev,start_elev,end_elev,total_face_height,latitude,longitude
206,Teram Kangri III/ Teram Kangri III,NE,1.117,1005.2,900.0,20.0,920.0,7253.2,7250.2,6245.1,1699.8,35.603279,77.054775
207,Jongsong Peak,S,1.116,1004.2,900.0,1710.0,2610.0,7446.2,7209.4,6205.2,1348.3,27.861944,88.1358
208,Mera Peak,N,1.115,1003.3,900.0,310.0,1210.0,6414.6,6255.0,5251.7,1785.3,27.716009,86.8683
209,Pyramid Peak,NW,1.112,1000.6,900.0,920.0,1820.0,6205.1,6896.9,5896.3,455.3,27.825387,88.173491
210,Cristal,NE,1.112,1000.4,900.0,60.0,960.0,6034.0,6030.6,5030.2,1040.6,35.782495,76.470723
211,Terong Kangri,SE,1.1,1000.7,910.0,50.0,960.0,6827.0,6843.3,5842.6,1110.3,35.395465,77.318074
212,Lakshmi,NE,1.091,1004.0,920.0,510.0,1430.0,6731.9,6506.1,5502.2,1346.3,35.46887,77.183656
213,Mount Everest,W,1.089,1001.6,920.0,260.0,1180.0,8690.9,8524.9,7523.3,1966.1,27.98791,86.917965
214,Huṅchhi,S,1.088,1001.0,920.0,180.0,1100.0,6891.8,6831.2,5830.2,1403.6,28.029311,86.75891
215,Ḍāgpāche,E,1.079,1003.5,930.0,1480.0,2410.0,6446.9,5894.5,4891.0,1668.8,28.25633,85.628216
216,Canharba Chuli,SE,1.078,1002.1,930.0,40.0,970.0,6159.2,6151.0,5148.9,2104.1,28.536077,83.963921
